20180401 202300;1.231820;1.231860;1.231770;1.231860;0
20180401 202400;1.231860;1.231870;1.231780;1.231790;0
20180401 202500;1.231790;1.231850;1.231710;1.231850;0
20180401 202600;1.231850;1.231910;1.231810;1.231880;0
20180401 202700;1.231880;1.231890;1.231780;1.231780;0
20180401 202800;1.231780;1.231900;1.231780;1.231840;0
20180401 202900;1.231810;1.231860;1.231780;1.231790;0
20180401 203000;1.231780;1.231840;1.231780;1.231810;0
20180401 203100;1.231810;1.231920;1.231810;1.231920;0
20180401 203200;1.231920;1.231920;1.231790;1.231870;0
20180401 203300;1.231890;1.232000;1.231880;1.231950;0
20180401 203400;1.231940;1.232010;1.231920;1.232000;0
20180401 203500;1.232010;1.232040;1.231960;1.231960;0
20180401 203600;1.231950;1.232050;1.231930;1.231990;0
20180401 203700;1.231990;1.231990;1.231980;1.231980;0
20180401 203800;1.231980;1.231980;1.231890;1.231960;0
20180401 203900;1.231960;1.232030;1.231960;1.232000;0
20180401 204000;1.232010;1.232080;1.231980;1.231980;0
20180401 204100;1.231970;1.232030;1.231950;1.231980;0
20180401 204200;1.231970;1.231970;1.231890;1.231900;0
20180401 204300;1.231900;1.231900;1.231890;1.231890;0
20180401 204400;1.231880;1.231880;1.231830;1.231830;0
20180401 204500;1.231820;1.231830;1.231790;1.231830;0
20180401 204600;1.231850;1.231930;1.231850;1.231910;0
20180401 204700;1.231910;1.231930;1.231900;1.231920;0
20180401 204800;1.231960;1.232070;1.231960;1.232070;0
20180401 204900;1.232060;1.232070;1.232020;1.232070;0
20180401 205000;1.232090;1.232150;1.232060;1.232060;0
20180401 205100;1.232070;1.232110;1.231920;1.231950;0
20180401 205200;1.231920;1.231930;1.231850;1.231890;0
20180401 205300;1.231900;1.232030;1.231890;1.232030;0
20180401 205400;1.232040;1.232050;1.231960;1.232010;0
20180401 205500;1.231950;1.232030;1.231920;1.231980;0
20180401 205600;1.231980;1.231980;1.231800;1.231880;0
20180401 205700;1.231880;1.232040;1.231880;1.231990;0
20180401 205800;1.232030;1.232120;1.231990;1.232120;0
20180401 205900;1.232090;1.232180;1.232050;1.232170;0
